corpus,drama,figure_surface,figure_id,Gender,Age
corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,x4vp.0,BILAU,bilau,,
gdc,x4vp.0,GRUNDMANN,grundmann,,
gdc,x4vp.0,FERDINAND,ferdinand,,
gdc,x4vp.0,LANGERS,langers,,
gdc,x4vp.0,ROSALIE,rosalie,,
gdc,x4vp.0,JULIE,julie,,
gdc,x4vp.0,RÄTHIN,räthin,,
gdc,x4vp.0,BEDIENTER,bedienter,,
gdc,x4vp.0,KÄTHE,käthe,,
gdc,x4vp.0,HANS,hans,,
gdc,x4vp.0,Welcher ist der Bräutigam,de,"Weißenthurn, Johanna von",116752505,,,0,1821,0,0
