corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,ger000492,317,28762,0,331,10508,0
gdc,ger000492,317,28762,0,10516,13878,0
gdc,ger000492,317,28762,0,13884,18964,0
gdc,ger000492,317,28762,0,18972,19241,0
gdc,ger000492,317,28762,0,19248,22265,0
gdc,ger000492,317,28762,0,22273,27830,0
gdc,ger000492,317,28762,0,27838,28762,0
gdc,ger000492,28769,66112,0,28784,38837,0
gdc,ger000492,28769,66112,0,38844,59134,0
gdc,ger000492,28769,66112,0,59141,61631,0
gdc,ger000492,28769,66112,0,61637,62130,0
gdc,ger000492,28769,66112,0,62138,65004,0
gdc,ger000492,28769,66112,0,65010,66112,0
gdc,ger000492,66119,98846,0,66134,74984,0
gdc,ger000492,66119,98846,0,74991,79658,0
gdc,ger000492,66119,98846,0,79665,93070,0
gdc,ger000492,66119,98846,0,93078,94693,0
gdc,ger000492,66119,98846,0,94700,98846,0
gdc,ger000492,98852,127173,0,98867,106421,0
gdc,ger000492,98852,127173,0,106427,124450,0
gdc,ger000492,98852,127173,0,124456,125397,0
gdc,ger000492,98852,127173,0,125404,127173,0
gdc,ger000492,127179,147020,0,127194,134804,0
gdc,ger000492,127179,147020,0,134811,144593,0
gdc,ger000492,127179,147020,0,144599,147020,0
