corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,x3b4.0,3112,6051,0,3112,6051,0
gdc,x3b4.0,6060,58088,0,6076,19939,0
gdc,x3b4.0,6060,58088,0,19946,28437,0
gdc,x3b4.0,6060,58088,0,28444,41641,0
gdc,x3b4.0,6060,58088,0,41648,58088,0
gdc,x3b4.0,58097,86335,0,58114,69328,0
gdc,x3b4.0,58097,86335,0,69336,72702,0
gdc,x3b4.0,58097,86335,0,72709,86335,0
gdc,x3b4.0,86345,125773,0,86362,110878,0
gdc,x3b4.0,86345,125773,0,110884,125773,0
