corpus,drama,Entity.surface,Entity.id,Entity.group_members
gdc,krf8.0,eine_oder_zwo_stimmen,3,
gdc,krf8.0,pedrillo,2,
gdc,krf8.0,osmin,1,
gdc,krf8.0,wache,10,
gdc,krf8.0,klaas,7,
gdc,krf8.0,chor,9,
gdc,krf8.0,constanze,5,
gdc,krf8.0,selim,4,
gdc,krf8.0,blonde,6,
gdc,krf8.0,einer_von_der_wache,8,
gdc,krf8.0,belmonte,0,
