corpus,drama,figure_surface,figure_id,Gender,Age
gdc,v3rv.0,Henri,henri,MALE,
gdc,v3rv.0,Vom Tisch der Schauspieler,die_schauspieler,UNKNOWN,
gdc,v3rv.0,Albin,albin,MALE,
gdc,v3rv.0,Scaevola,scaevola,MALE,
gdc,v3rv.0,Kommissär,kommissaer,MALE,
gdc,v3rv.0,Wirt (Prospère),wirt,MALE,
gdc,v3rv.0,Rollin,rollin,MALE,
gdc,v3rv.0,Michette,michette,FEMALE,
gdc,v3rv.0,Flipotte,flipotte,FEMALE,
gdc,v3rv.0,Guillaume,guillaume,MALE,
gdc,v3rv.0,Jules,jules,MALE,
gdc,v3rv.0,Rufe draußen/Rufe/Einige/Andere/Die Bürger,rufe_draussen_einige_andere_die_buerger,UNKNOWN,
gdc,v3rv.0,Severine,severine,FEMALE,
gdc,v3rv.0,François,francois,MALE,
gdc,v3rv.0,Grasset,grasset,MALE,
gdc,v3rv.0,Marquis von Lansac,marquis,MALE,
gdc,v3rv.0,Maurice,maurice,MALE,
gdc,v3rv.0,Georgette,georgette,FEMALE,
gdc,v3rv.0,Lebret,lebret,MALE,
gdc,v3rv.0,Leocadie,leocadie,FEMALE,
gdc,v3rv.0,Herzog,herzog,MALE,
gdc,v3rv.0,Etienne,etienne,MALE,
gdc,v3rv.0,Balthasar,balthasar,MALE,
gdc,v3rv.0,Grain,grain,MALE,
