corpus,drama,figure_surface,figure_id,Gender,Age
gdc,tz9d.0,THIBAUT,thibaut,,
gdc,tz9d.0,LOUISON,louison,,
gdc,tz9d.0,CLAUDE MARIE,claude_marie,,
gdc,tz9d.0,MARGOT,margot,,
gdc,tz9d.0,RAIMOND,raimond,,
gdc,tz9d.0,BERTRAND,bertrand,,
gdc,tz9d.0,JOHANNA,johanna,,
gdc,tz9d.0,DUNOIS,dunois,,
gdc,tz9d.0,DU CHATEL,du_chatel,,
gdc,tz9d.0,KARL,karl,,
gdc,tz9d.0,EDELKNECHT,edelknecht,,
gdc,tz9d.0,RATSHERR,ratsherr,,
gdc,tz9d.0,SOREL,sorel,,
gdc,tz9d.0,LA HIRE,la_hire,,
gdc,tz9d.0,ERZBISCHOF,erzbischof,,
gdc,tz9d.0,RAOUL,raoul,,
gdc,tz9d.0,VIELE STIMMEN,viele_stimmen,,
gdc,tz9d.0,HEROLD,herold,,
gdc,tz9d.0,TALBOT,talbot,,
gdc,tz9d.0,LIONEL,lionel,,
gdc,tz9d.0,BURGUND,burgund,,
gdc,tz9d.0,ISABEAU,isabeau,,
gdc,tz9d.0,SCHILDWACHE,schildwache,,
gdc,tz9d.0,ERSTER,erster,,
gdc,tz9d.0,ZWEITER,zweiter,,
gdc,tz9d.0,DRITTER,dritter,,
gdc,tz9d.0,VIERTER,vierter,,
gdc,tz9d.0,FÜNFTER,fünfter,,
gdc,tz9d.0,SOLDAT 2.5,soldat_2.5,,
gdc,tz9d.0,SOLDAT 5.11,soldat_5.11,,
gdc,tz9d.0,MONTGOMERY,montgomery,,
gdc,tz9d.0,RITTER,ritter,,
gdc,tz9d.0,CHATILLON,chatillon,,
gdc,tz9d.0,AGNES,agnes,,
gdc,tz9d.0,FASTOLF,fastolf,,
gdc,tz9d.0,SCHWARZER RITTER,schwarzer_ritter,,
gdc,tz9d.0,ETIENNE,etienne,,
gdc,tz9d.0,VOLK,volk,,
gdc,tz9d.0,MEHRERE STIMMEN,mehrere_stimmen,,
gdc,tz9d.0,KÖHLER,köhler,,
gdc,tz9d.0,KÖHLERWEIB,köhlerweib,,
gdc,tz9d.0,KÖHLERBUB,köhlerbub,,
gdc,tz9d.0,SOLDATEN,soldaten,,
gdc,tz9d.0,ANFÜHRER DER SOLDATEN,anführer_der_soldaten,,
gdc,tz9d.0,EDELMANN,edelmann,,
gdc,tz9d.0,HAUPTMANN,hauptmann,,
