corpus,drama,figure_surface,figure_id,Gender,Age
gdc,s9j7.0,Alle Andern,alle_andern,UNKNOWN,
gdc,s9j7.0,Alle (I. Akt),alle_1,UNKNOWN,
gdc,s9j7.0,Zweiter Ältester,zweiter_aeltester,MALE,
gdc,s9j7.0,Stimme des Scheik,scheik,MALE,
gdc,s9j7.0,Vorbeter,vorbeter,MALE,
gdc,s9j7.0,Die Ältesten der Ān'allāh,die_aeltesten_der_anallah,MALE,
gdc,s9j7.0,Vierter Scheik,vierter_scheik,MALE,
gdc,s9j7.0,Fünfter Scheik,fuenfter_scheik,MALE,
gdc,s9j7.0,Schatten des Kādi,schatten_des_kadi,UNKNOWN,
gdc,s9j7.0,Bibel,bibel,FEMALE,
gdc,s9j7.0,Sechster Scheik,sechster_scheik,MALE,
gdc,s9j7.0,Schatten des Imām,schatten_des_imam,UNKNOWN,
gdc,s9j7.0,Alle Ān'allāh,alle_anallah,UNKNOWN,
gdc,s9j7.0,Kādi,kadi,MALE,
gdc,s9j7.0,Siebenter Scheik,siebenter_scheik,MALE,
gdc,s9j7.0,Scheik der Todeskarawane,scheik_der_todeskarawane,MALE,
gdc,s9j7.0,Zweiter Scheik,zweiter_scheik,MALE,
gdc,s9j7.0,Schēfakā,schefaka,FEMALE,
gdc,s9j7.0,Die vier Schmiede,die_vier_schmiede,MALE,
gdc,s9j7.0,Alle Schatten,alle_schatten,UNKNOWN,
gdc,s9j7.0,Dritter Ältester,dritter_aeltester,MALE,
gdc,s9j7.0,Achter Scheik,achter_scheik,MALE,
gdc,s9j7.0,Erster Ältester,erster_aeltester,MALE,
gdc,s9j7.0,Alle (II. Akt),alle_2,UNKNOWN,
gdc,s9j7.0,Erster Scheik,erster_scheik,MALE,
gdc,s9j7.0,Hākawāti,hakawati,MALE,
gdc,s9j7.0,Imām,imam,MALE,
gdc,s9j7.0,Schatten des Scheik,schatten_des_scheik,UNKNOWN,
gdc,s9j7.0,Babel,babel,MALE,
gdc,s9j7.0,Dritter Scheik,dritter_scheik,MALE,
gdc,s9j7.0,Phantasie,phantasie,FEMALE,
