corpus,drama,figure_surface,figure_id,Gender,Age
gdc,rfd2.0,Hauptmann,hauptmann,MALE,
gdc,rfd2.0,Scharpstein,scharpstein,MALE,
gdc,rfd2.0,Schiller,schiller,MALE,
gdc,rfd2.0,Peters,peters,MALE,
gdc,rfd2.0,General Rieger,rieger,MALE,
gdc,rfd2.0,Nette,nette,MALE,
gdc,rfd2.0,Gräfin Franziska von Hohenheim,graefin,FEMALE,
gdc,rfd2.0,Generalin Rieger,generalin,FEMALE,
gdc,rfd2.0,Pfeiffer,pfeiffer,MALE,
gdc,rfd2.0,Laura,laura,FEMALE,
gdc,rfd2.0,Herzog,herzog,MALE,
gdc,rfd2.0,Bleistift,bleistift,MALE,
gdc,rfd2.0,Hover,hover,MALE,
gdc,rfd2.0,Koch,koch,MALE,
