corpus,drama,figure_surface,figure_id,Gender,Age
gdc,v3qp.0,MARTIN,martin,,
gdc,v3qp.0,SOPHIE,sophie,,
gdc,v3qp.0,CASSIAN,cassian,,
gdc,v3qp.0,DER DIENER,der_diener,,
